Timestamp,X Position,Y Position
2024-03-25T22:49:00.770Z,154,97
2024-03-25T22:49:00.929Z,220,120
2024-03-25T22:49:01.098Z,348,321
2024-03-25T22:49:01.257Z,62,817
2024-03-25T22:49:01.641Z,633,622
2024-03-25T22:49:01.777Z,742,594
2024-03-25T22:49:01.945Z,951,681
2024-03-25T22:49:02.105Z,452,556
2024-03-25T22:49:02.233Z,253,489
2024-03-25T22:49:02.393Z,254,308
2024-03-25T22:49:02.561Z,768,164
2024-03-25T22:49:02.697Z,917,183
2024-03-25T22:49:02.873Z,942,122
2024-03-25T22:49:03.154Z,288,105
2024-03-25T22:49:03.297Z,159,120
2024-03-25T22:49:03.449Z,65,141
2024-03-25T22:49:03.617Z,417,117
2024-03-25T22:49:03.889Z,897,135
2024-03-25T22:49:04.073Z,976,289
2024-03-25T22:49:04.218Z,982,395
2024-03-25T22:49:04.378Z,1079,483
2024-03-25T22:49:04.529Z,1020,560
2024-03-25T22:49:04.729Z,693,704
2024-03-25T22:49:04.897Z,914,722
2024-03-25T22:49:05.034Z,1019,712
2024-03-25T22:49:05.193Z,1141,452
2024-03-25T22:49:05.361Z,1118,229
2024-03-25T22:49:05.489Z,792,184
2024-03-25T22:49:05.657Z,135,314
2024-03-25T22:49:05.969Z,119,446
2024-03-25T22:49:06.105Z,336,454
2024-03-25T22:49:06.257Z,836,514
2024-03-25T22:49:06.569Z,1164,680
2024-03-25T22:49:06.873Z,1138,867
2024-03-25T22:49:07.057Z,677,760
2024-03-25T22:49:07.209Z,300,646
2024-03-25T22:49:07.377Z,173,546
2024-03-25T22:49:07.538Z,97,335
2024-03-25T22:49:07.713Z,119,194
2024-03-25T22:49:07.873Z,434,103
2024-03-25T22:49:08.041Z,723,66
2024-03-25T22:49:08.193Z,957,69
2024-03-25T22:49:08.338Z,1106,61
2024-03-25T22:49:08.473Z,1154,53
2024-03-25T22:49:08.601Z,1159,51
2024-03-25T22:49:08.938Z,664,16
2024-03-25T22:49:09.089Z,578,22
2024-03-25T22:49:09.233Z,448,45
2024-03-25T22:49:09.577Z,155,237
2024-03-25T22:49:09.721Z,337,354
2024-03-25T22:49:09.897Z,918,287
2024-03-25T22:49:10.042Z,1131,352
2024-03-25T22:49:10.193Z,1139,556
2024-03-25T22:49:10.353Z,877,555
2024-03-25T22:49:10.490Z,464,355
2024-03-25T22:49:10.665Z,305,112
2024-03-25T22:49:10.785Z,507,123
2024-03-25T22:49:10.969Z,860,234
2024-03-25T22:49:11.122Z,393,452
2024-03-25T22:49:11.426Z,554,569
2024-03-25T22:49:11.601Z,1050,503
2024-03-25T22:49:11.745Z,1093,378
2024-03-25T22:49:11.882Z,822,192
2024-03-25T22:49:12.033Z,279,127
